stop_id_start,stop_id_end,travel_time,trip_id,departure_station,stop_lat_start,stop_lon_start,stop_lat_end,stop_lon_end,arrival_station,trip_type,departure_city,arrival_city
StopPoint:OCETrain TER-87317362,StopPoint:OCETrain TER-87313122,12.0,OCESN848300F3470587:2024-10-13T00:47:17Z,Abbeville,50.102175,1.824538,50.011564,2.0025,Longpré-les-Corps-Saints,TER,Abbeville,Longpré-les-Corps-Saints
StopPoint:OCECar-87317362,StopPoint:OCECar-87299834,11.0,OCESN58001R2635216:2024-10-13T00:47:17Z,Abbeville,50.102175,1.824538,50.09724,1.72142,Miannay,TER,Abbeville,Miannay
StopPoint:OCETrain TER-87317362,StopPoint:OCETrain TER-87317396,9.0,OCESN16364F3154204:2024-10-13T00:47:17Z,Abbeville,50.102175,1.824538,50.187305,1.70453,Noyelles-sur-Mer,TER,Abbeville,Noyelles-sur-Mer
StopPoint:OCETrain TER-87317362,StopPoint:OCETrain TER-87313130,8.0,OCESN848308F3438380:2024-10-13T00:47:17Z,Abbeville,50.102175,1.824538,50.0475,1.899532,Pont-Remy,TER,Abbeville,Pont-Remy
StopPoint:OCETrain TER-87317362,StopPoint:OCETrain TER-87313080,23.0,OCESN848800F3529334:2024-10-12T00:35:06Z,Abbeville,50.102175,1.824538,49.893784,2.28477,Saint-Roch,TER,Abbeville,Saint-Roch
StopPoint:OCECar TER-87191403,StopPoint:OCECar TER-87407247,3.0,OCESN35256R3140382:2024-10-11T00:34:04Z,Aboncourt Mairie,49.261076,6.346603,49.276705,6.344782,Budange Rue D'Aboncourt,TER,Aboncourt,Budange
StopPoint:OCECar TER-87191403,StopPoint:OCECar TER-87406751,6.0,OCESN35241R2978035:2024-10-11T00:34:04Z,Aboncourt Mairie,49.261076,6.346603,49.276338,6.401942,Ebersviller Centre,TER,Aboncourt,Ebersviller
StopPoint:OCECar TER-87677252,StopPoint:OCECar TER-87683664,10.0,OCESN31909R3524426:2024-10-13T00:47:17Z,Accolay Le Pont,47.663798,3.709584,47.660761,3.732059,Vermenton,TER,Accolay,Vermenton
StopPoint:OCECar TER-87677252,StopPoint:OCECar TER-87683631,10.0,OCESN31900R3495417:2024-10-13T00:47:17Z,Accolay Le Pont,47.663798,3.709584,47.704204,3.628471,Vincelles,TER,Accolay,Vincelles
StopPoint:OCETrain TER-87342048,StopPoint:OCETrain TER-87313072,10.0,OCESN843900F3363766:2024-10-13T00:47:17Z,Achiet,50.131919,2.780112,50.005395,2.644481,Albert,TER,Achiet,Albert
StopPoint:OCETrain TER-87342048,StopPoint:OCETrain TER-87342014,10.0,OCESN843931F3528455:2024-10-13T00:47:17Z,Achiet,50.131919,2.780112,50.286811,2.780159,Arras,TER,Achiet,Arras
StopPoint:OCETrain TER-87342048,StopPoint:OCETrain TER-87342063,4.0,OCEEA848859F3529929:2024-10-08T00:31:46Z,Achiet,50.131919,2.780112,50.169645,2.787936,Courcelles-le-Comte,TER,Achiet,Courcelles-le-Comte
StopPoint:OCETrain TER-87342048,StopPoint:OCETrain TER-87342030,5.0,OCEEA848852F3529923:2024-10-08T00:31:46Z,Achiet,50.131919,2.780112,50.094864,2.731562,Miraumont,TER,Achiet,Miraumont
StopPoint:OCECar TER-87658856,StopPoint:OCECar TER-87658922,1.0,OCESN30192R3298612:2024-10-13T00:47:17Z,Adamswiller Lotissement la Forêt,48.905635,7.208238,48.903835,7.201179,Adamswiller Mairie,TER,Adamswiller,Adamswiller
StopPoint:OCECar TER-87658856,StopPoint:OCECar TER-87215699,6.0,OCESN30195R3298592:2024-10-13T00:47:17Z,Adamswiller Lotissement la Forêt,48.905635,7.208238,48.906027,7.255304,Tieffenbach - Struth,TER,Adamswiller,Tieffenbach
StopPoint:OCECar TER-87658922,StopPoint:OCECar TER-87658856,1.0,OCESN30195R3298592:2024-10-13T00:47:17Z,Adamswiller Mairie,48.903835,7.201179,48.905635,7.208238,Adamswiller Lotissement la Forêt,TER,Adamswiller,Adamswiller
StopPoint:OCECar TER-87658922,StopPoint:OCECar TER-87215665,7.0,OCESN30192R3298612:2024-10-13T00:47:17Z,Adamswiller Mairie,48.903835,7.201179,48.940533,7.185252,Diemeringen,TER,Adamswiller,Diemeringen
StopPoint:OCETrain TER-87757559,StopPoint:OCETrain TER-87757567,3.0,OCESN881273F3397757:2024-09-25T00:19:05Z,Agay,43.43137,6.8565,43.434985,6.892186,Anthéor Cap Roux,TER,Agay,Anthéor
StopPoint:OCETrain TER-87757559,StopPoint:OCETrain TER-87757542,2.0,OCESN881252F3242914:2024-10-08T00:31:46Z,Agay,43.43137,6.8565,43.417829,6.844289,Le Dramont,TER,Agay,Le Dramont
StopPoint:OCETrain TER-87757559,StopPoint:OCETrain TER-87757575,8.0,OCESA881201F3506860:2024-10-08T00:31:46Z,Agay,43.43137,6.8565,43.474631,6.924404,Le Trayas,TER,Agay,Le Trayas
StopPoint:OCETrain TER-87757559,StopPoint:OCETrain TER-87757583,13.0,OCESN881117F3218405:2024-10-13T00:47:17Z,Agay,43.43137,6.8565,43.513499,6.93696,Théoule-sur-Mer,TER,Agay,Théoule-sur-Mer
StopPoint:OCETrain TER-87781278,StopPoint:OCETrain TER-87781005,12.0,OCESN876419F3507434:2024-10-12T00:35:06Z,Agde,43.31728,3.466203,43.336295,3.218895,Béziers,TER,Agde,Béziers
StopPoint:OCETrain TER-87781278,StopPoint:OCETrain TER-87781294,4.0,OCESN876203F3507584:2024-10-02T00:44:21Z,Agde,43.31728,3.466203,43.318258,3.535629,Marseillan Plage,TER,Agde,Marseillan
StopPoint:OCETrain TER-87781278,StopPoint:OCETrain TER-87773200,13.0,OCESN876538F3464268:2024-10-13T00:47:17Z,Agde,43.31728,3.466203,43.412641,3.696571,Sète,TER,Agde,Sète
StopPoint:OCETrain TER-87781278,StopPoint:OCETrain TER-87781260,3.0,OCESN876121F3238744:2024-10-11T00:34:04Z,Agde,43.31728,3.466203,43.315653,3.425356,Vias,TER,Agde,Vias
StopPoint:OCEINTERCITES-87586008,StopPoint:OCEINTERCITES-87581009,63.0,OCESN4752F3493350:2024-10-24T00:40:14Z,Agen,44.207967,0.620867,44.825233,-0.556875,Bordeaux Saint-Jean,INTERCITES,Agen,Bordeaux
StopPoint:OCECar TER-87586008,StopPoint:OCECar TER-87582346,20.0,OCESN54091R3484065:2024-10-12T00:35:06Z,Agen,44.207967,0.620867,44.177609,0.635013,Boé,TER,Agen,Boé
StopPoint:OCECar TER-87586008,StopPoint:OCECar TER-87611897,50.0,OCESN433823R3425729:2024-10-13T00:47:17Z,Agen,44.207967,0.620867,44.040226,1.114155,Castelsarrasin,TER,Agen,Castelsarrasin
StopPoint:OCETrain TER-87586008,StopPoint:OCETrain TER-87611855,11.0,OCESN871839F3355478:2024-10-13T00:47:17Z,Agen,44.207967,0.620867,44.126777,0.825357,Lamagistère,TER,Agen,Lamagistère
StopPoint:OCETrain TER-87586008,StopPoint:OCETrain TER-87586412,17.0,OCESN865872F3041840:2024-10-12T00:35:06Z,Agen,44.207967,0.620867,44.287521,0.749793,Laroque,TER,Agen,Laroque
StopPoint:OCEINTERCITES-87586008,StopPoint:OCEINTERCITES-87611244,37.0,OCESN4661F3153805:2024-10-24T00:40:14Z,Agen,44.207967,0.620867,44.01444,1.341999,Montauban Ville Bourbon,INTERCITES,Agen,Montauban
StopPoint:OCETrain TER-87586008,StopPoint:OCETrain TER-87586438,29.0,OCESN865800F2694462:2024-10-12T00:35:06Z,Agen,44.207967,0.620867,44.37994,0.803507,Penne,TER,Agen,Penne
StopPoint:OCETrain TER-87586008,StopPoint:OCETrain TER-87586107,11.0,OCESN866832F3509156:2024-10-02T00:44:21Z,Agen,44.207967,0.620867,44.250671,0.39068,Port-Sainte-Marie,TER,Agen,Port-Sainte-Marie
StopPoint:OCETGV INOUI-87586008,StopPoint:OCETGV INOUI-87611004,64.0,OCESN8501F3155224:2024-09-25T00:19:05Z,Agen,44.207967,0.620867,43.611206,1.453616,Toulouse Matabiau,TGV,Agen,Toulouse
StopPoint:OCECar TER-87586008,StopPoint:OCECar TER-87611863,26.0,OCESN35603R3489237:2024-10-13T00:47:17Z,Agen,44.207967,0.620867,44.111643,0.891595,Valence d'Agen,TER,Agen,Valence (Occitanie)
StopPoint:OCETrain TER-87595157,StopPoint:OCETrain TER-87595165,5.0,OCESN868209F3513877:2024-10-13T00:47:17Z,Agonac,45.286605,0.748653,45.244633,0.688125,Château-l'Évêque,TER,Agonac,Château-l'Évêque
StopPoint:OCETrain TER-87595157,StopPoint:OCETrain TER-87595132,8.0,OCESN868200F3300601:2024-10-13T00:47:17Z,Agonac,45.286605,0.748653,45.346108,0.861654,Négrondes,TER,Agonac,Négrondes
StopPoint:OCETrain TER-87595157,StopPoint:OCETrain TER-87595009,10.0,OCESN868211F3296680:2024-10-13T00:47:17Z,Agonac,45.286605,0.748653,45.187425,0.708396,Périgueux,TER,Agonac,Périgueux
StopPoint:OCECar TER-87783399,StopPoint:OCECar TER-87668384,12.0,OCESN433022R3460157:2024-10-12T00:35:06Z,Aguessac,44.153724,3.097892,44.254859,3.055451,Hôpital Fenaille,TER,Aguessac,Hôpital
StopPoint:OCECar TER-87783399,StopPoint:OCECar TER-87783001,10.0,OCESN433029R3467038:2024-10-12T00:35:06Z,Aguessac,44.153724,3.097892,44.102344,3.07457,Millau,TER,Aguessac,Millau
StopPoint:OCETrain TER-87171702,StopPoint:OCETrain TER-87171736,3.0,OCESN839256F3516531:2024-10-11T00:34:04Z,Aguilcourt - Variscourt,49.407994,3.973095,49.434862,3.961334,Guignicourt,TER,Aguilcourt,Guignicourt
StopPoint:OCETrain TER-87171702,StopPoint:OCETrain TER-87171728,5.0,OCESN839255F3473995:2024-10-13T00:47:17Z,Aguilcourt - Variscourt,49.407994,3.973095,49.346676,3.990625,Loivre,TER,Aguilcourt,Loivre
StopPoint:OCETrain TER-85014001,StopPoint:OCETrain TER-85014027,6.0,OCESN18489F3546362:2024-10-09T00:32:19Z,Aigle,46.31685,6.96367,46.25146,7.00067,Bex,TER,Aigle,Bex
StopPoint:OCETrain TER-85014001,StopPoint:OCETrain TER-85013037,7.0,OCESN18478F3512235:2024-10-12T00:35:06Z,Aigle,46.31685,6.96367,46.39837,6.92699,Villeneuve,TER,Aigle,Villeneuve
StopPoint:OCECar-87751479,StopPoint:OCECar-87751495,12.0,OCESN89047R3157740:2024-10-13T00:47:17Z,Aiglun,44.046839,6.137533,44.088631,6.223133,Digne-les-Bains,TER,Aiglun,Digne-les-Bains
StopPoint:OCECar-87751479,StopPoint:OCECar-87751461,2.0,OCESN89106R3157689:2024-10-13T00:47:17Z,Aiglun,44.046839,6.137533,44.042245,6.127305,Mallemoisson,TER,Aiglun,Mallemoisson
StopPoint:OCETrain TER-87485193,StopPoint:OCETrain TER-87485185,5.0,OCESN863443F3274032:2024-10-13T00:47:17Z,Aigrefeuille Le Thou,46.094156,-0.951543,46.12045,-1.02347,La Jarrie,TER,Aigrefeuille,La Jarrie
StopPoint:OCETrain TER-87485193,StopPoint:OCETrain TER-87485227,9.0,OCESN863444F3510043:2024-10-02T00:44:21Z,Aigrefeuille Le Thou,46.094156,-0.951543,46.113339,-0.76113,Surgères,TER,Aigrefeuille,Surgères
StopPoint:OCECar TER-87695957,StopPoint:OCECar TER-87741009,25.0,OCESN33197R3493381:2024-10-12T00:35:06Z,Aiguebelette-Centre,45.537542,5.812926,45.571302,5.919547,Chambéry - Challes-les-Eaux,TER,Aiguebelette-Centre,Chambéry
StopPoint:OCECar TER-87695957,StopPoint:OCECar TER-87741439,5.0,OCESN33188R3493380:2024-10-02T00:44:21Z,Aiguebelette-Centre,45.537542,5.812926,45.541547,5.764584,Lépin-le-Lac - La Bauche,TER,Aiguebelette-Centre,Lépin-le-Lac
StopPoint:OCETrain TER-87741421,StopPoint:OCETrain TER-87741009,13.0,OCESN883503F3493750:2024-10-02T00:44:21Z,Aiguebelette-le-Lac,45.536323,5.813122,45.571302,5.919547,Chambéry - Challes-les-Eaux,TER,Aiguebelette-le-Lac,Chambéry
StopPoint:OCETrain TER-87741421,StopPoint:OCETrain TER-87741439,5.0,OCESN883504F3493751:2024-10-02T00:44:21Z,Aiguebelette-le-Lac,45.536323,5.813122,45.541547,5.764584,Lépin-le-Lac - La Bauche,TER,Aiguebelette-le-Lac,Lépin-le-Lac
StopPoint:OCECar TER-87741256,StopPoint:OCECar TER-87741249,7.0,OCESN33296R3568230:2024-10-13T00:47:17Z,Aiguebelle,45.543703,6.306737,45.560231,6.254831,Aiton-Salle-Polyvalente,TER,Aiguebelle,Aiton-Salle-Polyvalente
StopPoint:OCECar TER-87741256,StopPoint:OCECar TER-87697151,6.0,OCESN33295R3568229:2024-10-13T00:47:17Z,Aiguebelle,45.543703,6.306737,45.493131,6.313834,Argentine-Gemelly-ou-Stade,TER,Aiguebelle,Argentine-Gemelly-ou-Stade
StopPoint:OCETrain TER-87741256,StopPoint:OCETrain TER-87741231,6.0,OCESN883358F3150471:2024-10-12T00:35:06Z,Aiguebelle,45.543703,6.306737,45.557574,6.206743,Chamousset,TER,Aiguebelle,Chamousset
StopPoint:OCECar TER-87741256,StopPoint:OCECar TER-87741306,19.0,OCESN33287R3567190:2024-10-13T00:47:17Z,Aiguebelle,45.543703,6.306737,45.35312,6.302867,Saint-Avre - La Chambre,TER,Aiguebelle,Saint-Avre
StopPoint:OCECar TER-87741256,StopPoint:OCECar TER-87741223,20.0,OCESN460304R3427434:2024-10-13T00:47:17Z,Aiguebelle,45.543703,6.306737,45.557399,6.156289,Saint-Pierre-d'Albigny,TER,Aiguebelle,Saint-Pierre-d'Albigny
StopPoint:OCETrain TER-87741256,StopPoint:OCETrain TER-87741280,8.0,OCESN883301F3097049:2024-10-12T00:35:06Z,Aiguebelle,45.543703,6.306737,45.457008,6.292486,Épierre - Saint-Léger,TER,Aiguebelle,Épierre
StopPoint:OCECar TER-87741710,StopPoint:OCECar TER-87741702,3.0,OCESN33336R3399823:2024-10-13T00:47:17Z,Aigueblanche-Centre,45.501835,6.508605,45.520481,6.484015,La Léchère les Bains Petit Coeur,TER,Aigueblanche-Centre,La Léchère les Bains Petit Coeur
StopPoint:OCECar TER-87741710,StopPoint:OCECar TER-87696443,4.0,OCESN33347R3567947:2024-10-13T00:47:17Z,Aigueblanche-Centre,45.501835,6.508605,45.483121,6.527204,Moutiers-Lycée,TER,Aigueblanche-Centre,Moutiers-Lycée
StopPoint:OCECar TER-87741710,StopPoint:OCECar TER-87741728,10.0,OCESN33337R3568236:2024-10-13T00:47:17Z,Aigueblanche-Centre,45.501835,6.508605,45.48647,6.531399,Moûtiers-Salins-Brides-les-B.,TER,Aigueblanche-Centre,Moûtiers-Salins-Brides-les-B.
StopPoint:OCETrain TER-87734129,StopPoint:OCETrain TER-87734111,5.0,OCESN873100F3276384:2024-10-13T00:47:17Z,Aigueperse,46.014869,3.197912,45.983827,3.160514,Aubiat,TER,Aigueperse,Aubiat
StopPoint:OCETrain TER-87734129,StopPoint:OCETrain TER-87732404,7.0,OCESN873056F3152946:2024-10-13T00:47:17Z,Aigueperse,46.014869,3.197912,46.097592,3.204773,Gannat,TER,Aigueperse,Gannat
StopPoint:OCECar TER-87734129,StopPoint:OCECar TER-87589564,10.0,OCESN31102R3276100:2024-10-13T00:47:17Z,Aigueperse,46.014869,3.197912,46.086182,3.197861,Gannat Lycee Eiffel,TER,Aigueperse,Gannat
StopPoint:OCETrain TER-87734129,StopPoint:OCETrain TER-87734103,7.0,OCESN873102F3479187:2024-10-13T00:47:17Z,Aigueperse,46.014869,3.197912,45.940101,3.160014,Pontmort,TER,Aigueperse,Pontmort
StopPoint:OCECar TER-87734129,StopPoint:OCECar TER-87409417,13.0,OCESN31103R3495527:2024-10-13T00:47:17Z,Aigueperse,46.014869,3.197912,45.9438,3.1669,Pontmort RN9-D17,TER,Aigueperse,Pontmort
StopPoint:OCETrain TER-87734129,StopPoint:OCETrain TER-87734053,10.0,OCESN873106F3461625:2024-10-13T00:47:17Z,Aigueperse,46.014869,3.197912,45.889965,3.120498,Riom - Châtel-Guyon,TER,Aigueperse,Riom
StopPoint:OCETrain TER-87775858,StopPoint:OCETrain TER-87775866,7.0,OCESN877553F3343278:2024-09-25T00:19:05Z,Aigues-Mortes,43.570901,4.19121,43.537127,4.140338,Le Grau-du-Roi,TER,Aigues-Mortes,Le Grau-du-Roi
StopPoint:OCETrain TER-87775858,StopPoint:OCETrain TER-87775841,7.0,OCESN877554F3273134:2024-09-25T00:19:05Z,Aigues-Mortes,43.570901,4.19121,43.639288,4.19307,Saint-Laurent-d'Aigouze,TER,Aigues-Mortes,Saint-Laurent-d'Aigouze
StopPoint:OCETrain TER-87586693,StopPoint:OCETrain TER-87586107,6.0,OCESN866801F3369054:2024-10-09T00:32:19Z,Aiguillon,44.298533,0.33578,44.250671,0.39068,Port-Sainte-Marie,TER,Aiguillon,Port-Sainte-Marie
StopPoint:OCETrain TER-87586693,StopPoint:OCETrain TER-87586651,7.0,OCESN866802F3364614:2024-10-13T00:47:17Z,Aiguillon,44.298533,0.33578,44.392656,0.313658,Tonneins,TER,Aiguillon,Tonneins
StopPoint:OCECar TER-87215624,StopPoint:OCECar TER-87215707,3.0,OCESN33212R3539029:2024-10-13T00:47:17Z,Ailleville,48.254741,4.682252,48.268071,4.64892,Arsonval,TER,Ailleville,Arsonval
StopPoint:OCECar TER-87215624,StopPoint:OCECar TER-87215616,2.0,OCESN33225R3162486:2024-10-13T00:47:17Z,Ailleville,48.254741,4.682252,48.241253,4.696597,Bar-sur-Aube Piscine,TER,Ailleville,Bar-sur-Aube
StopPoint:OCETrain TER-87185629,StopPoint:OCETrain TER-87144147,11.0,OCESN894602F3527308:2024-10-12T00:35:06Z,Aillevillers,47.91389,6.33736,47.981216,6.295263,Bains-les-Bains,TER,Aillevillers,Bains-les-Bains
StopPoint:OCETrain TER-87185629,StopPoint:OCETrain TER-87185595,10.0,OCESN894603F3505058:2024-10-12T00:35:06Z,Aillevillers,47.91389,6.33736,47.814918,6.372671,Luxeuil-les-Bains,TER,Aillevillers,Luxeuil-les-Bains
StopPoint:OCECar TER-87185629,StopPoint:OCECar TER-87185330,10.0,OCESN33531R3299903:2024-10-12T00:35:06Z,Aillevillers,47.91389,6.33736,47.885625,6.275672,Saint-Loup-sur-Semouse,TER,Aillevillers,Saint-Loup-sur-Semouse
StopPoint:OCETrain TER-87313221,StopPoint:OCETrain TER-87313213,7.0,OCESN848717F2484345:2024-10-13T00:47:17Z,Ailly-sur-Noye,49.754197,2.36463,49.846337,2.397793,Boves,TER,Ailly-sur-Noye,Boves
StopPoint:OCETrain TER-87313221,StopPoint:OCETrain TER-87313247,9.0,OCESN848502F3135638:2024-10-13T00:47:17Z,Ailly-sur-Noye,49.754197,2.36463,49.626499,2.384714,Breteuil-Embranchement,TER,Ailly-sur-Noye,Breteuil-Embranchement
StopPoint:OCETrain TER-87313221,StopPoint:OCETrain TER-87316109,5.0,OCESN848701F3428224:2024-10-13T00:47:17Z,Ailly-sur-Noye,49.754197,2.36463,49.799847,2.390921,Dommartin - Remiencourt,TER,Ailly-sur-Noye,Dommartin (Hauts-de-France)
StopPoint:OCETrain TER-87313221,StopPoint:OCETrain TER-87313239,5.0,OCESN848726F3116273:2024-10-13T00:47:17Z,Ailly-sur-Noye,49.754197,2.36463,49.696509,2.349524,La Faloise,TER,Ailly-sur-Noye,La Faloise
StopPoint:OCETrain TER-87313221,StopPoint:OCETrain TER-87313049,9.0,OCESN848507F2734915:2024-10-13T00:47:17Z,Ailly-sur-Noye,49.754197,2.36463,49.864678,2.349937,Longueau,TER,Ailly-sur-Noye,Longueau
StopPoint:OCETrain TER-87313098,StopPoint:OCETrain TER-87316075,3.0,OCESN848308F3438380:2024-10-13T00:47:17Z,Ailly-sur-Somme,49.928515,2.200476,49.91449,2.231126,Dreuil-lès-Amiens,TER,Ailly-sur-Somme,Dreuil-lès-Amiens
StopPoint:OCETrain TER-87313098,StopPoint:OCETrain TER-87313122,11.0,OCEEA848301F3529424:2024-10-10T10:27:58Z,Ailly-sur-Somme,49.928515,2.200476,50.011564,2.0025,Longpré-les-Corps-Saints,TER,Ailly-sur-Somme,Longpré-les-Corps-Saints
StopPoint:OCETrain TER-87313098,StopPoint:OCETrain TER-87313106,5.0,OCESN848307F3340515:2024-10-13T00:47:17Z,Ailly-sur-Somme,49.928515,2.200476,49.945998,2.143139,Picquigny,TER,Ailly-sur-Somme,Picquigny
StopPoint:OCETrain TER-87313098,StopPoint:OCETrain TER-87313080,6.0,OCESN848300F3470587:2024-10-13T00:47:17Z,Ailly-sur-Somme,49.928515,2.200476,49.893784,2.28477,Saint-Roch,TER,Ailly-sur-Somme,Saint-Roch
StopPoint:OCETrain TER-87775833,StopPoint:OCETrain TER-87775825,3.0,OCESN877550F3271507:2024-09-25T00:19:05Z,Aimargues,43.678643,4.20845,43.683217,4.234803,Le Cailar,TER,Aimargues,Le Cailar
StopPoint:OCETrain TER-87775833,StopPoint:OCETrain TER-87775841,5.0,OCESN877559F3507295:2024-10-02T00:44:21Z,Aimargues,43.678643,4.20845,43.639288,4.19307,Saint-Laurent-d'Aigouze,TER,Aimargues,Saint-Laurent-d'Aigouze
StopPoint:OCETrain TER-87741769,StopPoint:OCETrain TER-87741777,7.0,OCESN883141F3499015:2024-10-13T00:47:17Z,Aime - La Plagne,45.554387,6.648614,45.574213,6.733849,Landry,TER,Aime,Landry
StopPoint:OCETrain TER-87741769,StopPoint:OCETrain TER-87741728,15.0,OCESN883264F3519658:2024-10-02T00:44:21Z,Aime - La Plagne,45.554387,6.648614,45.48647,6.531399,Moûtiers-Salins-Brides-les-B.,TER,Aime,Moûtiers-Salins-Brides-les-B.
StopPoint:OCETrain TER-87713636,StopPoint:OCETrain TER-87713644,4.0,OCESN891813F3522263:2024-10-02T00:44:21Z,Aiserey,47.170645,5.158352,47.131491,5.21239,Brazey-en-Plaine,TER,Aiserey,Brazey-en-Plaine
StopPoint:OCETrain TER-87713636,StopPoint:OCETrain TER-87712620,3.0,OCESN891802F3157487:2024-10-13T00:47:17Z,Aiserey,47.170645,5.158352,47.193863,5.134775,Longecourt,TER,Aiserey,Longecourt
StopPoint:OCETrain TER-87713636,StopPoint:OCETrain TER-87713628,5.0,OCESN891806F3169671:2024-10-13T00:47:17Z,Aiserey,47.170645,5.158352,47.224246,5.104631,Saulon,TER,Aiserey,Saulon
StopPoint:OCECar TER-87741249,StopPoint:OCECar TER-87741256,7.0,OCESN33295R3568229:2024-10-13T00:47:17Z,Aiton-Salle-Polyvalente,45.560231,6.254831,45.543703,6.306737,Aiguebelle,TER,Aiton-Salle-Polyvalente,Aiguebelle
StopPoint:OCECar TER-87741249,StopPoint:OCECar TER-87697151,11.0,OCESN33281R3550804:2024-10-12T00:35:06Z,Aiton-Salle-Polyvalente,45.560231,6.254831,45.493131,6.313834,Argentine-Gemelly-ou-Stade,TER,Aiton-Salle-Polyvalente,Argentine-Gemelly-ou-Stade
StopPoint:OCECar TER-87741249,StopPoint:OCECar TER-87741231,5.0,OCESN33296R3568230:2024-10-13T00:47:17Z,Aiton-Salle-Polyvalente,45.560231,6.254831,45.557574,6.206743,Chamousset,TER,Aiton-Salle-Polyvalente,Chamousset
StopPoint:OCECar TER-87741249,StopPoint:OCECar TER-87741223,13.0,OCESN33280R3550065:2024-10-12T00:35:06Z,Aiton-Salle-Polyvalente,45.560231,6.254831,45.557399,6.156289,Saint-Pierre-d'Albigny,TER,Aiton-Salle-Polyvalente,Saint-Pierre-d'Albigny
StopPoint:OCETrain TER-87751404,StopPoint:OCETrain TER-87751420,8.0,OCESN880117F3507039:2024-10-09T00:32:19Z,Aix-en-Provence,43.522903,5.44533,43.456023,5.463324,Gardanne,TER,Aix-en-Provence,Gardanne
StopPoint:OCETrain TER-87751404,StopPoint:OCETrain TER-87751321,51.0,OCESN17450F3518826:2024-10-13T00:47:17Z,Aix-en-Provence,43.522903,5.44533,43.823194,5.793324,Manosque - Gréoux-les-Bains,TER,Aix-en-Provence,Manosque
StopPoint:OCECar TER-87751404,StopPoint:OCECar TER-87751008,40.0,OCESN453211R3487313:2024-10-13T00:47:17Z,Aix-en-Provence,43.522903,5.44533,43.302666,5.380407,Marseille Saint-Charles,TER,Aix-en-Provence,Marseille
StopPoint:OCETrain TER-87751404,StopPoint:OCETrain TER-87751370,18.0,OCESN17406F3488401:2024-10-13T00:47:17Z,Aix-en-Provence,43.522903,5.44533,43.644037,5.539566,Meyrargues,TER,Aix-en-Provence,Meyrargues
StopPoint:OCETGV INOUI-87319012,StopPoint:OCETGV INOUI-87318964,21.0,OCESN2242F3312093:2024-09-25T00:19:05Z,Aix-en-Provence TGV,43.455237,5.317534,43.92194,4.786136,Avignon TGV,TGV,Aix-en-Provence,Avignon
StopPoint:OCEOUIGO-87319012,StopPoint:OCEOUIGO-87762906,73.0,OCESN7858F3132401:2024-10-07T00:33:12Z,Aix-en-Provence TGV,43.455237,5.317534,45.721109,5.074969,Lyon Saint-Exupéry TGV,TGV,Aix-en-Provence,Lyon
